大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
超梦进化石Ｘ,超夢進化石Ｘ,让超梦携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓超夢攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓超夢攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
超梦进化石Ｙ,超夢進化石Ｙ,让超梦携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓超夢攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓超夢攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
火焰鸡进化石,火焰雞進化石,让火焰鸡携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓火焰雞攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓火焰雞攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
恰雷姆进化石,恰雷姆進化石,让恰雷姆携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓恰雷姆攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓恰雷姆攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
黑鲁加进化石,黑魯加進化石,让黑鲁加携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓黑魯加攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓黑魯加攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
波士可多拉进化石,波士可多拉進化石,让波士可多拉携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓波士可多拉攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓波士可多拉攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
诅咒娃娃进化石,詛咒娃娃進化石,让诅咒娃娃携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓詛咒娃娃攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓詛咒娃娃攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
班基拉斯进化石,班基拉斯進化石,让班基拉斯携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓班基拉斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓班基拉斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
巨钳螳螂进化石,巨鉗螳螂進化石,让巨钳螳螂携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓巨鉗螳螂攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓巨鉗螳螂攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
凯罗斯进化石,凱羅斯進化石,让凯罗斯携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓凱羅斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓凱羅斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
化石翼龙进化石,化石翼龍進化石,让化石翼龙携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓化石翼龍攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓化石翼龍攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
路卡利欧进化石,路卡利歐進化石,让路卡利欧携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓路卡利歐攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓路卡利歐攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
暴雪王进化石,暴雪王進化石,让暴雪王携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓暴雪王攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓暴雪王攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
袋兽进化石,袋獸進化石,让袋兽携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓袋獸攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓袋獸攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
暴鲤龙进化石,暴鯉龍進化石,让暴鲤龙携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓暴鯉龍攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓暴鯉龍攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
阿勃梭鲁进化石,阿勃梭魯進化石,让阿勃梭鲁携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓阿勃梭魯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓阿勃梭魯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
喷火龙进化石Ｙ,噴火龍進化石Ｙ,让喷火龙携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓噴火龍攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓噴火龍攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
胡地进化石,胡地進化石,让胡地携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓胡地攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓胡地攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
赫拉克罗斯进化石,赫拉克羅斯進化石,让赫拉克罗斯携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓赫拉克羅斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓赫拉克羅斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
大嘴娃进化石,大嘴娃進化石,让大嘴娃携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓大嘴娃攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓大嘴娃攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
雷电兽进化石,雷電獸進化石,让雷电兽携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓雷電獸攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓雷電獸攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
烈咬陆鲨进化石,烈咬陸鯊進化石,让烈咬陆鲨携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓烈咬陸鯊攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓烈咬陸鯊攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
拉帝亚斯进化石,拉帝亞斯進化石,让拉帝亚斯携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓拉帝亞斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓拉帝亞斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
拉帝欧斯进化石,拉帝歐斯進化石,让拉帝欧斯携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓拉帝歐斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓拉帝歐斯攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
洛玫果,洛玫果,让宝可梦携带后，在受到效果绝佳的妖精属性招式攻击时，能令其威力减弱。,讓寶可夢攜帶後，在受到效果絕佳的妖精屬性招式攻擊時，能使其威力減弱。,讓寶可夢攜帶後，在受到效果絕佳的妖精屬性招式攻擊時，能令其威力減弱。
亚开果,亞開果,让宝可梦携带后，在受到物理招式攻击时，自己的防御就会提高。,讓寶可夢攜帶後，在受到物理招式攻擊時，自己的防禦就會提高。,讓寶可夢攜帶後，在受到物理招式攻擊時，自己的防禦就會提高。
香罗果,香羅果,让宝可梦携带后，在受到特殊招式攻击时，自己的特防就会提高。,讓寶可夢攜帶後，在受到特殊招式攻擊時，自己的特防就會提高。,讓寶可夢攜帶後，在受到特殊招式攻擊時，自己的特防就會提高。
莲叶童子喷壶,蓮葉童子噴壺,浇水的道具。能让埋在松软土壤里的树果快快长大。,澆水的器具。能讓埋在鬆軟土壤裡的樹果快快長大。,澆水的道具。能讓埋在鬆軟土壤裡的樹果快快長大。
招式学习器９６,招式學習器９６,用自然之力进行攻击。根据所使用场所的不同，使出的招式也会有所变化。,用自然之力進行攻擊。隨著使用場所的不同，使出的招式也會有所變化。,用自然之力進行攻擊。根據所使用場所的不同，使出的招式也會有所變化。
招式学习器９７,招式學習器９７,从体内发出充满恶意的恐怖气场。有时会使对手畏缩。,從身體發出充滿惡意的恐怖氣場。有時會使對手畏縮。,從體內發出充滿惡意的恐怖氣場。有時會使對手畏縮。
招式学习器９８,招式學習器９８,以惊人的气势扑向对手。有时会使对手畏缩。,以驚人的氣勢撲向對手。有時會讓對手畏縮。,以驚人的氣勢撲向對手。有時會使對手畏縮。
招式学习器９９,招式學習器９９,向对手发出强光，并给予伤害。,向對手發出強光，並給予傷害。,向對手發出強光，並給予傷害。
招式学习器１００,招式學習器１００,和对手进行密语，使其失去集中力，从而降低对手的特攻。,向對手低聲密語，使其失去集中力，進而降低對手的特攻。,和對手進行密語，使其失去集中力，從而降低對手的特攻。
发电厂通行证,發電廠通行證,该通行证可用作进入１３号道路上的发电厂时所需的身份证明。,該通行證可用作進入１３號道路上的發電廠時所需的身份證明。,該通行證可用作進入１３號道路上的發電廠時所需的身份證明。
超级环,超級環,蕴藏着未知力量的圆环。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的圓環。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的圓環。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
似珍石,似珍石,在有些人看来可能会觉得它十分贵重。非常与众不同的石头。,在某些人眼裡可能會覺得它十分貴重。頗與眾不同的石頭。,在有些人看來可能會覺得它十分貴重。非常與眾不同的石頭。
常见石,常見石,在有些人看来可能会觉得它十分贵重。但其实是块普通的石头。,在某些人眼裡可能會覺得它十分貴重。但其實是塊普通的石頭。,在有些人看來可能會覺得它十分貴重。但其實是塊普通的石頭。
折价券,折價券,在时装店买道具时，能以比平时更低的价格购买的券。,在時裝店買物品時，能以比平時更低的價格購買的券。,在時裝店買道具時，能以比平時更低的價格購買的券。
电梯钥匙,電梯鑰匙,可以启动弗拉达利研究所里电梯的钥匙卡。上面有着闪焰队的标志。,可以啟動弗拉達利研究所裡電梯的鑰匙卡。上面有著閃焰隊的標誌。,可以啟動弗拉達利研究所裡電梯的鑰匙卡。上面有著閃焰隊的標誌。
ＴＭＶ自由票,ＴＭＶ自由票,可以随时乘坐连接着密阿雷市和奇楠市的超高速列车的车票。,可以隨時乘坐連接著密阿雷市和奇楠市的超高速列車的車票。,可以隨時乘坐連接著密阿雷市和奇楠市的超高速列車的車票。
卡洛斯勋章,卡洛斯勳章,颁发给为卡洛斯地区作出杰出贡献的人的宝贵勋章。,頒發給為卡洛斯地區帶來傑出貢獻的人的寶貴勳章。,頒發給為卡洛斯地區作出傑出貢獻的人的寶貴勳章。
探险心得,探險心得,朋友亲手制作的指南手册。里面汇总了训练家在旅行时所需注意的各种事项。,朋友親手製作的指南手冊。裡面整合了訓練家旅行時的注意事項。,朋友親手製作的指南手冊。裡面匯總了訓練家在旅行時所需注意的各種事項。
神秘摆设,神秘擺設,在阿罗拉地区，据说是模仿古时候被称为守护神的神奇宝可梦而制作的摆设。,據說是模仿自古以來在阿羅拉地區被稱為守護神的神奇寶可夢而製作的擺設。,在阿羅拉地區，據說是模仿古時候被稱為守護神的神奇寶可夢而製作的擺設。
隐形眼镜盒,隱形眼鏡盒,可以存放隐形眼镜的，有点漂亮的盒子。,可以存放隱形眼鏡的，有點漂亮的盒子。,可以存放隱形眼鏡的，有點漂亮的盒子。
化妆包,化妝包,可以存放唇膏的精美小包包。,可以存放唇膏的精美小包包。,可以存放唇膏的精美小包包。
衣物箱,衣物箱,能塞入任意时尚物品，收纳能力极佳的轻箱子。,能夠塞入各種時尚物品的收納能力極佳的輕箱子。,能塞入任意時尚物品，收納能力極佳的輕箱子。
密阿雷格雷派饼,密阿雷格雷派餅,在密阿雷市很受欢迎的点心。能治愈１只宝可梦的所有异常状态。,在密阿雷市很受歡迎的點心。能治癒１隻寶可夢的所有異常狀態。,在密阿雷市很受歡迎的點心。能治癒１只寶可夢的所有異常狀態。
娑罗沙布蕾,娑羅沙布蕾,娑罗市特产的沙布蕾。能治愈１只宝可梦的所有异常状态。,娑羅市特產的沙布蕾。能治癒１隻寶可夢的所有異常狀態。,娑羅市特產的沙布蕾。能治癒１只寶可夢的所有異常狀態。
颚之化石,顎之化石,很久以前生活在地上的古代宝可梦的化石。好像是很大的颚的一部分。,很久以前生活在地上的古代寶可夢的化石。好像是很大的顎的一部分。,很久以前生活在地上的古代寶可夢的化石。好像是很大的顎的一部分。
鳍之化石,鰭之化石,很久以前生活在地上的古代宝可梦的化石。好像是头鳍的一部分。,很久以前生活在地上的古代寶可夢的化石。好像是頭鰭的一部分。,很久以前生活在地上的古代寶可夢的化石。好像是頭鰭的一部分。
帅哥券,帥哥券,喷有闪闪发光的涂料，帅哥亲手制作的券。,噴有閃閃發光的塗料，帥哥親手製作的券。,噴有閃閃發光的塗料，帥哥親手製作的券。
自行车,自行車,能比跑步鞋跑得还快的折叠式自行车。,能跑得比跑步鞋還快的折疊式自行車。,能比跑步鞋跑得還快的摺疊式自行車。
全息影像通讯器,全像投影通訊器,可以随时查看接收到的全息影像数据的装置。,可以隨時查看接收到的全像投影資料的裝置。,可以隨時查看接收到的全像投影資料的裝置。
妖精宝石,妖精寶石,妖精属性的宝石。携带后，妖精属性的招式威力会仅增强１次。,妖精屬性的寶石。攜帶後，妖精屬性的招式威力會僅增強１次。,妖精屬性的寶石。攜帶後，妖精屬性的招式威力會僅增強１次。
超级坠饰,超級墜飾,蕴藏着未知力量的坠饰。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的墜飾。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的墜飾。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
超级手套,超級手套,蕴藏着未知力量的手套。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的手套。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的手套。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
音速自行车,音速自行車,能以２倍以上的速度移动的折叠式自行车。,能以２倍以上速度移動的折疊式自行車。,能以２倍以上的速度移動的摺疊式自行車。
越野自行车,越野自行車,能做出跳跃或抬前轮动作的折叠式自行车。,能做出跳躍或抬前輪動作的折疊式自行車。,能做出跳躍或抬前輪動作的摺疊式自行車。
吼吼鲸喷壶,吼吼鯨噴壺,浇水的道具。能让埋在土壤里的树果快快长大。,澆水的器具。能讓埋在土壤裡的樹果快快長大。,澆水的道具。能讓埋在土壤裡的樹果快快長大。
得文的物品,得文的物品,此物品里面放着的是得文制造的某种零件。,裡面放有得文製造的某種零件的物品。,此物品裡面放著的是得文製造的某種零件。
集灰袋,集灰袋,将堆积起来的火山灰收集起来的袋子。,用於收集堆積的火山灰的袋子。,將堆積起來的火山灰收集起來的袋子。
地下钥匙,地下鑰匙,进入紫堇地下的新紫堇时，所使用的钥匙。,用於進入紫菫地下的新紫菫的鑰匙。,進入紫菫地下的新紫菫時，所使用的鑰匙。
宝可方块套装,寶可方塊組合,这是树果混合器和宝可方块盒的套装。树果混合器可利用树果制作宝可方块，而做好的宝可方块可用宝可方块盒来保存。,可由樹果製作寶可方塊的樹果混合器與存放用的寶可方塊盒之套裝。,這是樹果混合器和寶可方塊盒的套裝。樹果混合器可利用樹果製作寶可方塊，而做好的寶可方塊可用寶可方塊盒來保存。
给大吾的信,給大吾的信,从得文社长那里得到的信。,得文社長託付的信。,從得文社長那裡得到的信。
无限船票,無限船票,前往南方孤岛的船票。橙华道馆的馆主千里知道其中的秘密！？,前往南方孤島的船票。橙華道館的館主千里知道其中的秘密！？,前往南方孤島的船票。橙華道館的館主千里知道其中的秘密！？
探测器,探測器,在海紫堇中找到的道具。,在海紫菫中找到的道具。,在海紫菫中找到的道具。
ＧＯＧＯ护目镜,ＧＯＧＯ護目鏡,能在沙漠的沙暴中保护眼睛的出色护目镜。,能在沙漠的沙暴中保護眼睛的出色護目鏡。,能在沙漠的沙暴中保護眼睛的出色護目鏡。
陨石,隕石,原本是落入流星瀑布里的陨石。是在烟囱山获得的。,原為墜落在流星瀑布裡的隕石。在煙囪山得到了它。,原本是落入流星瀑布裡的隕石。是在煙囪山獲得的。
１号客房的钥匙,１號客房的鑰匙,进入海紫堇的房间时所需的钥匙。,用於進入海紫菫的房間的鑰匙。,進入海紫菫的房間時所需的鑰匙。
２号客房的钥匙,２號客房的鑰匙,进入海紫堇的房间时所需的钥匙。,用於進入海紫菫的房間的鑰匙。,進入海紫菫的房間時所需的鑰匙。
４号客房的钥匙,４號客房的鑰匙,进入海紫堇的房间时所需的钥匙。,用於進入海紫菫的房間的鑰匙。,進入海紫菫的房間時所需的鑰匙。
６号客房的钥匙,６號客房的鑰匙,进入海紫堇的房间时所需的钥匙。,用於進入海紫菫的房間的鑰匙。,進入海紫菫的房間時所需的鑰匙。
仓库钥匙,倉庫鑰匙,进入海紫堇的仓库时所需的钥匙。,用於進入海紫菫的房間的鑰匙。,進入海紫菫的倉庫時所需的鑰匙。
得文侦测镜,得文偵測鏡,会对看不见的宝可梦起反应，并发出声音的得文特制产品。,會對看不見的寶可夢起反應，並發出聲音的得文特製產品。,會對看不見的寶可夢起反應，並發出聲音的得文特製產品。
船票,船票,乘坐渡船时需要用到。,乘坐交通船時需要用到。,乘坐渡船時需要用到。
秘传学习器０７,秘傳學習器０７,第１回合潜入，第２回合浮上来进行攻击。,使用後的第１回合潛入水中，並於第２回合浮上來進行攻擊。,第１回合潛入，第２回合浮上來進行攻擊。
得文潜水装备,得文潛水裝備,潜水时装备在身上用来呼吸氧气的面罩。得文制造。,潛水時裝備在身上用來呼吸氧氣的面罩。得文製造。,潛水時裝備在身上用來呼吸氧氣的面罩。得文製造。
演出礼服,演出禮服,在华丽大赛上演出时穿的非常帅气的礼服。,在華麗大賽上演出時穿的非常帥氣的禮服。,在華麗大賽上演出時穿的非常帥氣的禮服。
演出礼裙,演出禮裙,在华丽大赛上演出时穿的非常可爱的礼裙。,在華麗大賽上演出時穿的非常可愛的禮裙。,在華麗大賽上演出時穿的非常可愛的禮裙。
熔岩装,熔岩裝,集熔岩队科学技术于一身的服装。能承受任何冲击。,集結了熔岩隊的科學技術製造的服裝。能承受任何衝擊。,集熔岩隊科學技術於一身的服裝。能承受任何衝擊。
海洋装,海洋裝,集海洋队科学技术于一身的服装。能承受任何冲击。,集結了海洋隊的科學技術製造的服裝。能承受任何衝擊。,集海洋隊科學技術於一身的服裝。能承受任何衝擊。
双人票,雙人票,在绿岭宇宙中心举办的天体展览的双人票。,在綠嶺宇宙中心舉辦的天體展覽的雙人票。,在綠嶺宇宙中心舉辦的天體展覽的雙人票。
超级手镯,超級手鐲,蕴藏着未知力量的手镯。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的手鐲。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的手鐲。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
超级吊坠,超級吊墜,蕴藏着未知力量的吊坠。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的吊墜。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的吊墜。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
超级眼镜,超級眼鏡,蕴藏着未知力量的眼镜。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的眼鏡。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的眼鏡。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
超级船锚,超級船錨,蕴藏着未知力量的船锚。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的船錨。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的船錨。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
超级领针,超級領針,蕴藏着未知力量的领针。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的領針。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的領針。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
超级头冠,超級頭冠,蕴藏着未知力量的头冠。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的頭冠。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的頭冠。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
超级脚镯,超級腳鐲,蕴藏着未知力量的脚镯。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的腳鐲。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的腳鐲。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
陨石,隕石,在烟囱山上获得的陨石。隐约散发着光辉。,在煙囪山上獲得的隕石。隱約散發著光芒。,在煙囪山上獲得的隕石。隱約散發著光輝。
巨沼怪进化石,巨沼怪進化石,让巨沼怪携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓巨沼怪攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓巨沼怪攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
蜥蜴王进化石,蜥蜴王進化石,让蜥蜴王携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓蜥蜴王攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓蜥蜴王攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
勾魂眼进化石,勾魂眼進化石,让勾魂眼携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓勾魂眼攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓勾魂眼攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
七夕青鸟进化石,七夕青鳥進化石,让七夕青鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓七夕青鳥攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓七夕青鳥攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
艾路雷朵进化石,艾路雷朵進化石,让艾路雷朵携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓艾路雷朵攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓艾路雷朵攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
差不多娃娃进化石,差不多娃娃進化石,让差不多娃娃携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓差不多娃娃攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓差不多娃娃攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
巨金怪进化石,巨金怪進化石,让巨金怪携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓巨金怪攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓巨金怪攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
巨牙鲨进化石,巨牙鯊進化石,让巨牙鲨携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓巨牙鯊攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓巨牙鯊攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
呆壳兽进化石,呆殼獸進化石,让呆壳兽携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓呆殼獸攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓呆殼獸攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
大钢蛇进化石,大鋼蛇進化石,让大钢蛇携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓大鋼蛇攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓大鋼蛇攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
大比鸟进化石,大比鳥進化石,让大比鸟携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓大比鳥攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓大比鳥攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
冰鬼护进化石,冰鬼護進化石,让冰鬼护携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓冰鬼護攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓冰鬼護攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
蒂安希进化石,蒂安希進化石,让蒂安希携带后，在战斗时就能进行超级进化的一种神奇超级石。,讓蒂安希攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,讓蒂安希攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
惩戒之壶,懲戒之壺,据说在很久以前封印着某只宝可梦力量的壶。,據說在很久以前封印著某隻寶可夢力量的壺。,據說在很久以前封印著某隻寶可夢力量的壺。
超级护腕,超級護腕,蕴藏着未知力量的护腕。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的護腕。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的護腕。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
喷火驼进化石,噴火駝進化石,喷火驼携带后，在战斗时就能进行超级进化的一种神奇超级石。,噴火駝攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,噴火駝攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
长耳兔进化石,長耳兔進化石,长耳兔携带后，在战斗时就能进行超级进化的一种神奇超级石。,長耳兔攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,長耳兔攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
暴飞龙进化石,暴飛龍進化石,暴飞龙携带后，在战斗时就能进行超级进化的一种神奇超级石。,暴飛龍攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,暴飛龍攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
大针蜂进化石,大針蜂進化石,大针蜂携带后，在战斗时就能进行超级进化的一种神奇超级石。,大針蜂攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。,大針蜂攜帶後，在戰鬥時就能進行超級進化的一種神奇超級石。
陨石,隕石,在烟囱山上获得的陨石。持续散发着微光。摸上去隐约有点暖暖的。,在煙囪山上獲得的隕石。持續散發著微微光芒。摸起來有點暖暖的。,在煙囪山上獲得的隕石。持續散發著微光。摸上去隱約有點暖暖的。
陨石,隕石,在烟囱山上获得的陨石。上面浮现着某些花纹，并散发着七色光芒。,在煙囪山上獲得的隕石。上面浮現出某種花紋，並流瀉著七色光芒。,在煙囪山上獲得的隕石。上面浮現著某些花紋，並散發著七色光芒。
钥石,鑰石,蕴藏着未知力量的石头。能让携带着超级石战斗的宝可梦进行超级进化。,隱藏著未知力量的石頭。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。,蘊藏著未知力量的石頭。能讓攜帶著超級石戰鬥的寶可夢進行超級進化。
陨石碎片,隕石碎片,掉落在石之洞窟里的陨石碎片之一。摸上去有一点点暖暖的。,掉落在石之洞窟裡的隕石碎片之一。摸起來有點暖暖的。,掉落在石之洞窟裡的隕石碎片之一。摸上去有一點點暖暖的。
无限之笛,無限之笛,无论身在何处，都能召唤拉帝欧斯或拉帝亚斯的笛子。,無論身在何處，都能召喚拉帝歐斯或拉帝亞斯的笛子。,無論身在何處，都能召喚拉帝歐斯或拉帝亞斯的笛子。
一般Ｚ,一般Ｚ,Ｚ力量的结晶。会将一般属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把一般屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將一般屬性的招式升級成Ｚ招式。
火Ｚ,火Ｚ,Ｚ力量的结晶。会将火属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把火屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將火屬性的招式升級成Ｚ招式。
水Ｚ,水Ｚ,Ｚ力量的结晶。会将水属性的招式升级成Ｚ招式。,Ｚ力量的結晶。會把水屬性的招式升級為Ｚ招式。,Ｚ力量的結晶。會將水屬性的招式升級成Ｚ招式。
